Carimbo de data/hora,Como conheceu o Téo Me Why?,Quantos cursos acompanhou do Téo Me Why?,Curte games?,Curte futebol?,Curte livros?,Curte jogos de tabuleiro?,Curte jogos de fórmula 1?,Curte jogos de MMA?,Idade,Estado que mora atualmente,Área de Formação,Tempo que atua na área de dados,Posição da cadeira (senioridade),Você se considera uma pessoa feliz?
12/06/2025 10:59:27,LinkedIn,0,Sim,Não,Sim,Sim,Sim,Não,34,MG,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 10:59:34,Twitch,Mais que 3,Sim,Sim,Sim,Não,Não,Sim,26,MG,Exatas,Não atuo,Iniciante,Sim
12/06/2025 10:59:36,YouTube,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,39,SC,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 10:59:37,YouTube,Mais que 3,Sim,Sim,Sim,Sim,Sim,Não,27,SP,Exatas,Mais de 4 anos,Pleno,Sim
12/06/2025 10:59:41,Twitch,2,Sim,Sim,Sim,Sim,Não,Não,29,CE,Exatas,De 1 ano a 2 anos,Pleno,Sim
12/06/2025 10:59:43,LinkedIn,2,Sim,Sim,Sim,Sim,Não,Sim,32,SP,Exatas,De 0 a 6 meses,Júnior,Sim
12/06/2025 10:59:53,Instagram,2,Não,Sim,Sim,Sim,Sim,Não,40,SC,Exatas,Não atuo,Iniciante,Sim
12/06/2025 10:59:57,LinkedIn,0,Não,Não,Sim,Sim,Não,Não,31,PE,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:00:00,Amigos,1,Sim,Sim,Não,Sim,Não,Não,34,RJ,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 11:00:04,Twitch,1,Sim,Sim,Sim,Sim,Sim,Não,26,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 11:00:06,YouTube,3,Não,Sim,Sim,Não,Sim,Sim,30,PE,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:00:08,Twitch,Mais que 3,Sim,Não,Sim,Sim,Não,Não,28,AM,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 11:00:11,Twitter / X,2,Sim,Sim,Sim,Sim,Não,Não,28,CE,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:00:13,LinkedIn,2,Sim,Sim,Sim,Sim,Não,Não,34,SP,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 11:00:15,LinkedIn,0,Sim,Não,Não,Sim,Não,Não,42,SP,Exatas,Não atuo,Júnior,Sim
12/06/2025 11:00:22,LinkedIn,Mais que 3,Não,Sim,Sim,Não,Não,Não,24,PR,Exatas,De 1 ano a 2 anos,Pleno,Sim
12/06/2025 11:00:26,Twitter / X,3,Sim,Não,Não,Sim,Não,Não,29,SP,Exatas,Não atuo,Júnior,Sim
12/06/2025 11:00:26,Twitter / X,0,Sim,Não,Sim,Sim,Não,Não,27,SP,Exatas,De 0 a 6 meses,Iniciante,Não
12/06/2025 11:00:50,LinkedIn,1,Sim,Sim,Não,Não,Sim,Sim,35,MG,Exatas,Não atuo,Júnior,Não
12/06/2025 11:00:51,LinkedIn,3,Sim,Sim,Sim,Sim,Sim,Sim,44,SP,Exatas,Não atuo,Gerência,Não
12/06/2025 11:01:00,Twitter / X,Mais que 3,Sim,Sim,Sim,Não,Sim,Não,27,RJ,Exatas,Mais de 4 anos,Pleno,Sim
12/06/2025 11:01:23,LinkedIn,Mais que 3,Sim,Não,Sim,Sim,Sim,Não,36,BA,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:01:33,LinkedIn,Mais que 3,Sim,Não,Sim,Sim,Sim,Sim,50,SP,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 11:01:49,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,32,SP,Exatas,Mais de 4 anos,Sênior,Não
12/06/2025 11:01:54,LinkedIn,0,Sim,Sim,Sim,Sim,Não,Não,39,PA,Exatas,De 6 meses a 1 ano,Júnior,Sim
12/06/2025 11:01:57,LinkedIn,Mais que 3,Sim,Sim,Sim,Sim,Sim,Não,31,SP,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:01:57,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Não,Não,37,SP,Exatas,Mais de 4 anos,Júnior,Não
